taxonKey	nubKey	taxonID	scientificName	taxonomicStatus	acceptedKey	acceptedName	acceptedTaxonRank	acceptedClassKey	acceptedClass	acceptedKingdom
152545105	5352372	https://www.gbif.org/species/5352372	Anthyllis vulneraria subsp. polyphylla (DC.) Nyman	ACCEPTED	5352372	Anthyllis vulneraria subsp. polyphylla (DC.) Nyman	SUBSPECIES	220	Magnoliopsida	Plantae
152545106	5352425	https://www.gbif.org/species/5352425	Anthyllis vulneraria subsp. carpatica (Pant.) Nyman	ACCEPTED	5352425	Anthyllis vulneraria subsp. carpatica (Pant.) Nyman	SUBSPECIES	220	Magnoliopsida	Plantae
152545108	5355395	https://www.gbif.org/species/5355395	Spartium junceum L.	ACCEPTED	5355395	Spartium junceum L.	SPECIES	220	Magnoliopsida	Plantae
152545110	7681436	https://www.gbif.org/species/7681436	Cytisus multiflorus (L'Hér.) Sweet	ACCEPTED	7681436	Cytisus multiflorus (L'Hér.) Sweet	SPECIES	220	Magnoliopsida	Plantae
152545111	5354676	https://www.gbif.org/species/5354676	Cytisus decumbens (Durande) Spach	ACCEPTED	5354676	Cytisus decumbens (Durande) Spach	SPECIES	220	Magnoliopsida	Plantae
152545112	5354707	https://www.gbif.org/species/5354707	Cytisus striatus (Hill) Rothm.	ACCEPTED	5354707	Cytisus striatus (Hill) Rothm.	SPECIES	220	Magnoliopsida	Plantae
152545115	5353770	https://www.gbif.org/species/5353770	Arachis hypogaea L.	ACCEPTED	5353770	Arachis hypogaea L.	SPECIES	220	Magnoliopsida	Plantae
152545117	5359660	https://www.gbif.org/species/5359660	Glycine max (L.) Merr.	ACCEPTED	5359660	Glycine max (L.) Merr.	SPECIES	220	Magnoliopsida	Plantae
152545119	5632334	https://www.gbif.org/species/5632334	Trigonella hierosolymitana Boiss.	ACCEPTED	5632334	Trigonella hierosolymitana Boiss.	SPECIES	220	Magnoliopsida	Plantae
152545120	5360451	https://www.gbif.org/species/5360451	Trigonella esculenta Willd.	ACCEPTED	5360451	Trigonella esculenta Willd.	SPECIES	220	Magnoliopsida	Plantae
