taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	kingdomKey	classKey
2716226	Cyperus esculentus	Plantae	Liliopsida	15		1	1	3	3	0	0	6	196
3120790	Artemisia verlotiorum	Plantae	Magnoliopsida	15		1	1	3	3	0	0	6	220
3128888	Centaurea solstitialis	Plantae	Magnoliopsida	15		2	2	1	1	1	1	6	220
5304294	Hyacinthoides massartiana	Plantae	Liliopsida	15		2	2	1	1	1	1	6	196
5355395	Spartium junceum	Plantae	Magnoliopsida	15		1	1	3	3	0	0	6	220
8168344	Hedera hibernica	Plantae	Magnoliopsida	15		2	2	1	1	1	1	6	220
3666776	Oenothera ersteinensis	Plantae	Magnoliopsida	14.5		1	1	1	1	3	2	6	220
7307327	Agastache rugosa	Plantae	Magnoliopsida	14.5		1	1	1	1	3	2	6	220
8190077	Populus canadensis	Plantae	Magnoliopsida	14	0.8941585873082436	1	1	2	1	2	1	6	220
2876607	Alnus cordata	Plantae	Magnoliopsida	14	0.8024049813351797	2	0	3	0	2	0	6	220
2684171	Thuja plicata	Plantae	Pinopsida	14		1	1	2	2	1	1	6	194
2772174	Muscari armeniacum	Plantae	Liliopsida	14		1	1	2	2	1	1	6	196
2931104	Solanum pseudocapsicum	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
2985863	Hylotelephium spectabile	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
2996525	Rubus armeniacus	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
3169756	Nerium oleander	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
5372639	Salix babylonica	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
5567694	Bergenia crassifolia	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
2888439	Papaver somniferum	Plantae	Magnoliopsida	13.5	1.1958411777007796	0	3	0	3	0	3	6	220
5330661	Arum italicum	Plantae	Liliopsida	13.5	1.0846765111576298	0	3	0	3	0	3	6	196
2876049	Corylus maxima	Plantae	Magnoliopsida	13.5		3	3	0	0	0	0	6	220
5328909	Sagittaria latifolia	Plantae	Liliopsida	13.5		3	3	0	0	0	0	6	196
5559837	Cymbalaria pallida	Plantae	Magnoliopsida	13.5		1	1	1	3	1	1	6	220
2686157	Larix kaempferi	Plantae	Pinopsida	13		1	1	1	1	2	2	6	194
2706026	Miscanthus sinensis	Plantae	Liliopsida	13		1	1	1	1	2	2	6	196
2873995	Isotrema macrophyllum	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
3000610	Chaenomeles japonica	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
4201695	Phedimus hybridus	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
4259350	Tilia tomentosa	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
5358907	Trifolium alexandrinum	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
5377163	Iberis amara	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
7294681	Pulmonaria longifolia	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
7915783	Oenothera fallax	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
8133114	Aster amellus	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
6362904	Populus trichocarpa	Plantae	Magnoliopsida	12	0.8469372982085392	2	0	2	0	2	0	6	220
5284809	Pinus nigra	Plantae	Pinopsida	12	0.8194377174463192	2	0	2	0	2	0	6	194
5598915	Lonicera pileata	Plantae	Magnoliopsida	12	0.8130202980882243	2	0	2	0	2	0	6	220
5284827	Picea sitchensis	Plantae	Pinopsida	12	0.7677583858357095	2	0	2	0	2	0	6	194
3025617	Cotoneaster horizontalis	Plantae	Magnoliopsida	12	0.7480725405806963	2	0	2	0	2	0	6	220
2889934	Tropaeolum majus	Plantae	Magnoliopsida	12	0.7367248141039889	2	0	2	0	2	0	6	220
3026074	Cotoneaster salicifolius	Plantae	Magnoliopsida	11.5	0.6788342576848317	1	0	3	0	2	0	6	220
2988188	Pyracantha coccinea	Plantae	Magnoliopsida	11.5	0.5038035580003108	1	0	3	0	2	0	6	220
2685552	Abies nordmanniana	Plantae	Pinopsida	11.5		3	2	0	0	0	0	6	194
4201607	Phedimus spurius	Plantae	Magnoliopsida	10.5	0.8879484489574949	1	1	1	1	1	1	6	220
2677047	Orthodontium lineare	Plantae	Bryopsida	10.5	0.8783726580754264	1	1	1	1	1	1	6	327
3033865	Mahonia aquifolium	Plantae	Magnoliopsida	10.5	0.8579002899342729	1	1	1	1	1	1	6	220
3189866	Acer negundo	Plantae	Magnoliopsida	10.5	0.7122833183882374	1	1	1	1	1	1	6	220
2687182	Tsuga canadensis	Plantae	Pinopsida	10.5		1	1	1	1	1	1	6	194
2700768	Luzula nivea	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2705512	Glyceria canadensis	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2716838	Eleocharis engelmannii	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2717402	Eleocharis mamillata austriaca	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2717467	Eleocharis obtusa	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2720120	Scirpus atrovirens	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2720269	Scirpus georgianus	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2747718	Crocus speciosus	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2772885	Ornithogalum pyramidale	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2857449	Allium ramosum	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2858909	Narcissus jonquilla	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2869301	Lysichiton camtschatcensis	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2874512	Cucurbita ficifolia	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2882841	Vaccinium macrocarpon	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2888867	Rheum rhabarbarum	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2888948	Rumex alpinus	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2889980	Geranium magnificum	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2890739	Geranium versicolor	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2927303	Lavandula stoechas	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2927727	Phlox subulata	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2927744	Phlox paniculata	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2928761	Nicotiana alata	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2928859	Petunia atkinsiana	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2987948	Neillia tanakae	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3025896	Cotoneaster dielsianus	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3026024	Cotoneaster ascendens	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3032611	Darmera peltata	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3083486	Paeonia lactiflora	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3112361	Cynara scolymus	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
