taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2023_em_status_occupancy_Wallonia	year_2023_em_status_occs_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_Wallonia	year_2022_em_status_occs_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_Wallonia	year_2021_em_status_occs_Wallonia	kingdomKey	classKey
7162908	Convolvulus tricolor	Plantae	Magnoliopsida	45		1	1	2	2	2	2	2	2	2	2	3	3	6	220
7266329	Salix alba alba	Plantae	Magnoliopsida	45		1	1	1	1	3	2	2	2	3	2	3	3	6	220
3084015	Phytolacca americana	Plantae	Magnoliopsida	44.5	0.9595744872188389	1	1	2	1	3	3	3	1	2	2	2	1	6	220
2873877	Linum austriacum	Plantae	Magnoliopsida	44.5	0.5837023120539353	1	1	1	1	2	3	3	1	3	3	3	1	6	220
1622599	Rhagoletis cingulata	Animalia	Insecta	44.5		3	2	2	2	1	1	2	2	1	1	3	2	1	216
3026049	Cotoneaster dammeri	Plantae	Magnoliopsida	44.5		2	3	2	3	1	1	2	2	1	1	2	2	6	220
4488821	Deraeocoris flavilinea	Animalia	Insecta	44.5		1	1	2	2	3	3	3	3	1	1	1	1	1	216
2493633	Taeniopygia guttata	Animalia	Aves	44	0.8467694110994715	3	2	2	1	1	1	2	1	3	2	2	1	1	212
1031394	Ectopsocus petersi	Animalia	Insecta	44		3	3	3	3	1	1	1	1	1	1	1	1	1	216
2767275	Scilla forbesii	Plantae	Liliopsida	44		1	1	1	1	2	2	2	2	3	3	3	3	6	196
2888579	Leycesteria formosa	Plantae	Magnoliopsida	44		1	1	1	1	2	2	2	2	3	3	3	3	6	220
3033261	Anemone coronaria	Plantae	Magnoliopsida	44		1	1	1	1	2	2	2	2	3	3	3	3	6	220
3666422	Chamaenerion dodonaei	Plantae	Magnoliopsida	44		2	2	2	2	2	3	2	2	1	1	1	1	6	220
7266343	Salix purpurea purpurea	Plantae	Magnoliopsida	44		3	3	3	3	1	1	1	1	1	1	1	1	6	220
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	44		1	1	1	1	2	2	2	2	3	3	3	3	6	220
8080743	Scilla siberica	Plantae	Liliopsida	44		1	1	1	1	2	2	2	2	3	3	3	3	6	196
2686212	Larix decidua	Plantae	Pinopsida	43.5	0.9922069263089256	2	2	2	1	2	2	2	1	2	2	2	1	6	194
3067119	Euphorbia maculata	Plantae	Magnoliopsida	43.5	0.8662342949319819	2	2	2	1	2	2	2	1	2	2	2	1	6	220
2479977	Nymphicus hollandicus	Animalia	Aves	43.5	0.7309227913603072	2	2	2	0	3	3	2	0	2	2	2	0	1	212
2869311	Lysichiton americanus	Plantae	Liliopsida	43.5		1	1	1	1	2	2	3	2	3	2	3	2	6	196
2875968	Corylus colurna	Plantae	Magnoliopsida	43.5		1	1	2	2	3	3	2	2	1	1	2	2	6	220
3120790	Artemisia verlotiorum	Plantae	Magnoliopsida	43.5		1	1	2	2	3	3	3	3	0	0	2	2	6	220
5582033	Salix udensis	Plantae	Magnoliopsida	43.5		1	1	2	2	1	1	3	2	3	3	2	2	6	220
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	43	0.8913682087160505	2	2	2	1	3	3	2	1	1	1	1	1	6	220
4484176	Cacopsylla fulguralis	Animalia	Insecta	43		1	1	1	1	1	1	3	3	3	3	3	3	1	216
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	42.5	1.0072707391438729	2	1	1	3	2	1	1	3	3	1	1	3	6	220
3033896	Berberis thunbergii	Plantae	Magnoliopsida	42.5	0.6176512768790037	1	1	1	0	3	3	3	0	3	3	3	0	6	220
2362030	Ctenopharyngodon idella	Animalia		42.5		1	1	1	1	3	3	3	3	1	1	2	2	1	
2426661	Pelophylax ridibundus	Animalia	Amphibia	42.5		1	1	2	2	2	2	2	2	2	2	2	2	1	131
2913169	Galium parisiense	Plantae	Magnoliopsida	42.5		2	2	2	2	1	1	1	1	2	2	3	3	6	220
8288647	Pterocarya fraxinifolia	Plantae	Magnoliopsida	42.5		1	1	1	1	2	2	2	2	3	2	3	3	6	220
4201709	Sempervivum arachnoideum	Plantae	Magnoliopsida	42		1	1	1	2	3	3	3	3	1	1	1	1	6	220
5329263	Elodea densa	Plantae	Liliopsida	41.5		1	1	1	1	2	2	3	3	2	2	2	2	6	196
5391928	Bidens triplinervia	Plantae	Magnoliopsida	41.5		1	1	1	1	3	3	2	2	1	1	3	3	6	220
2435035	Felis catus	Animalia	Mammalia	41	0.9905008896783282	2	2	2	0	2	2	2	0	2	2	2	2	1	359
7802465	Nymphaea marliacea	Plantae	Magnoliopsida	41	0.7899388212831789	2	1	2	1	2	1	2	1	3	1	3	1	6	220
3012089	Sorbaria sorbifolia	Plantae	Magnoliopsida	41	0.7529646313549632	2	1	2	0	3	1	3	0	3	1	3	0	6	220
5334240	Lonicera japonica	Plantae	Magnoliopsida	41	0.5411875340628466	1	1	1	0	3	3	3	0	3	3	2	0	6	220
2995149	Rubus phoenicolasius	Plantae	Magnoliopsida	41	0.44599138954432416	1	1	1	0	3	3	3	0	3	3	2	0	6	220
2684120	Sequoiadendron giganteum	Plantae	Pinopsida	41		1	1	1	1	1	3	3	3	2	2	2	2	6	194
9345027	Spatula cyanoptera	Animalia	Aves	41		1	1	1	1	1	1	2	3	3	3	3	3	1	212
3146683	Erigeron sumatrensis	Plantae	Magnoliopsida	40.5	1.0656793977317272	2	1	1	3	2	1	1	3	2	1	1	3	6	220
3026454	Spiraea salicifolia	Plantae	Magnoliopsida	40.5	0.9937045822850338	1	3	1	1	2	3	2	1	1	3	1	1	6	220
5284884	Picea abies	Plantae	Pinopsida	40.5	0.8446133769248564	3	0	3	0	3	0	3	0	3	0	3	0	6	194
2965354	Medicago falcata	Plantae	Magnoliopsida	40.5	0.7220770072109187	2	3	2	0	1	3	1	0	2	3	2	0	6	220
8313153	Quercus palustris	Plantae	Magnoliopsida	40.5	0.6027783224681939	1	1	1	1	2	2	2	1	3	3	3	1	6	220
3098951	Cosmos sulphureus	Plantae	Magnoliopsida	40.5		1	1	1	1	2	2	2	2	2	2	3	3	6	220
3054357	Juglans nigra	Plantae	Magnoliopsida	40	0.717398633295725	1	1	1	1	3	3	1	1	3	3	1	1	6	220
2128502	Aceria erinea	Animalia	Arachnida	40		2	2	2	2	1	1	1	1	2	2	2	2	1	367
2479544	Agapornis fischeri	Animalia	Aves	40		1	1	1	1	3	3	3	3	1	1	1	1	1	212
3064669	Euphorbia myrsinites	Plantae	Magnoliopsida	40		1	1	1	1	3	3	3	3	1	1	1	1	6	220
3082279	Ceratostigma plumbaginoides	Plantae	Magnoliopsida	40		1	1	1	1	3	3	3	3	1	1	1	1	6	220
3085420	Dianthus caryophyllus	Plantae	Magnoliopsida	40		1	1	1	1	3	3	3	3	1	1	1	1	6	220
3170247	Asclepias syriaca	Plantae	Magnoliopsida	40		2	2	2	2	1	1	1	1	2	2	2	2	6	220
3189882	Acer palmatum	Plantae	Magnoliopsida	40		1	1	3	3	1	1	3	3	1	1	1	1	6	220
5189032	Corbicula fluminalis	Animalia	Bivalvia	40		1	1	1	1	3	3	3	3	1	1	1	1	1	137
6096602	Lophocolea semiteres	Plantae	Jungermanniopsida	40		2	2	2	2	1	1	1	1	2	2	2	2	6	126
7433196	Euonymus latifolius	Plantae	Magnoliopsida	40		1	1	1	1	3	3	3	3	1	1	1	1	6	220
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	39.5	0.8928529571613975	2	1	1	1	3	1	2	1	3	1	2	1	6	220
2041682	Graphocephala fennahi	Animalia	Insecta	39.5	0.6470905618936721	2	2	0	1	3	3	0	1	3	3	0	1	1	216
1031684	Lepinotus patruelis	Animalia	Insecta	39.5		1	1	1	1	1	1	2	2	3	3	3	3	1	216
2077985	Impatientinum asiaticum	Animalia	Insecta	39.5		3	3	2	2	1	1	1	1	1	1	1	1	1	216
3000679	Chaenomeles speciosa	Plantae	Magnoliopsida	39.5		1	1	1	1	1	1	2	2	3	3	3	3	6	220
3133938	Coreopsis lanceolata	Plantae	Magnoliopsida	39.5		1	1	1	1	1	1	2	2	3	3	3	3	6	220
5228229	Balearica regulorum	Animalia	Aves	39.5		1	1	2	2	1	1	2	2	2	2	3	2	1	212
5362054	Crassula helmsii	Plantae	Magnoliopsida	39	0.9152569264499567	2	1	2	0	3	1	3	0	2	1	3	0	6	220
2049661	Adelges abietis	Animalia	Insecta	39		1	1	1	1	1	2	2	2	3	3	2	2	1	216
2227300	Procambarus clarkii	Animalia	Malacostraca	39		1	1	2	2	2	2	2	2	1	1	2	2	1	229
2684191	Taxodium distichum	Plantae	Pinopsida	39		1	1	1	1	3	3	2	2	1	1	2	2	6	194
5328909	Sagittaria latifolia	Plantae	Liliopsida	39		3	3	3	2	0	0	1	1	0	0	3	3	6	196
5355395	Spartium junceum	Plantae	Magnoliopsida	39		1	1	1	1	3	3	3	3	0	0	2	2	6	220
3189073	Epilobium brachycarpum	Plantae	Magnoliopsida	38.5	0.9179623459387133	1	1	1	1	3	3	1	1	3	2	1	1	6	220
8149923	Prunus persica	Plantae	Magnoliopsida	38.5	0.9177641276304848	2	1	1	1	2	1	2	1	3	1	3	1	6	220
3170823	Paulownia tomentosa	Plantae	Magnoliopsida	38.5	0.8680800966428056	2	2	1	0	2	2	1	0	3	3	1	2	6	220
3054117	Aubrieta deltoidea	Plantae	Magnoliopsida	38.5	0.6322831790952397	1	1	2	0	2	2	2	0	3	3	3	0	6	220
2498402	Dendrocygna bicolor	Animalia	Aves	38.5		1	1	1	1	3	3	3	2	1	1	1	1	1	212
2928026	Nemophila menziesii	Plantae	Magnoliopsida	38.5		1	1	1	1	1	1	2	3	3	3	2	2	6	220
3040184	Populus balsamifera	Plantae	Magnoliopsida	38.5		2	2	2	2	2	2	2	2	0	0	1	1	6	220
1749449	Cameraria ohridella	Animalia	Insecta	38		1	1	2	2	1	1	1	1	3	3	2	2	1	216
2479798	Melopsittacus undulatus	Animalia	Aves	38		1	1	1	1	2	2	2	2	2	2	2	2	1	212
3172266	Jasminum nudiflorum	Plantae	Magnoliopsida	38		1	1	1	1	2	2	2	2	2	2	2	2	6	220
3741446	Erinus alpinus	Plantae	Magnoliopsida	38		1	1	1	1	2	2	2	2	2	2	2	2	6	220
