taxonKey	taxonName	kingdom	year	em_status	dr_1	dr_2	dr_3	dr_4
2650903	Onoclea sensibilis L.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2651122	Polystichum munitum (Kaulf.) C.Presl	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2651826	Adiantum raddianum C.Presl	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2677047	Orthodontium lineare Schwägr.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2683866	Chamaecyparis lawsoniana (A.Murray bis) Parl.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2684171	Thuja plicata Donn ex D.Don	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2685361	Abies grandis (Douglas ex D.Don) Lindl.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2685484	Abies alba Mill.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2685796	Pseudotsuga menziesii (Mirb.) Franco	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2686157	Larix kaempferi (Lamb.) Carrière	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2686212	Larix decidua Mill.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2687210	Tsuga heterophylla (Raf.) Sarg.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2701578	Juncus foliosus Desf.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2701612	Juncus ensifolius Wikstr.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2701879	Juncus striatus Schousb. ex E.Mey.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2701986	Juncus canadensis J.Gay ex Laharpe	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702058	Juncus anthelatus (Wiegand) R.E.Brooks	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2702084	Juncus tenuis Willd.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702727	Festuca myuros L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702792	Briza maxima L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702808	Echinochloa crus-galli (L.) P.Beauv.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702816	Echinochloa muricata (P.Beauv.) Fernald	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2703698	Bromus sitchensis Trin.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2703721	Bromus madritensis L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2703723	Bromus catharticus Vahl	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2703760	Bromus diandrus Roth	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2704194	Poa infirma Kunth	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2704523	Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2704757	Sporobolus indicus (L.) R.Br.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2704949	Festuca trachyphylla (Hack.) Hack.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705081	Panicum virgatum L.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2705090	Panicum miliaceum L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2705144	Panicum dichotomiflorum Michx.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705162	Panicum capillare L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2705181	Sorghum bicolor (L.) Moench	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2705185	Sorghum halepense (L.) Pers.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
